정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
농협하나로마트,44165,0,11,0,11,0,0
높은마을입구,35685,19,51,19,51,0,2
높은마을입구,35693,38,38,38,38,0,2
누촌,43238,48,195,47,195,1,8
누촌,43360,148,33,148,33,0,6
뉴그린아트빌,40875,1258,900,1258,900,0,71
뉴그린아트빌,40876,252,1567,252,1567,0,60
뉴서울1차아파트,40275,12306,6814,12189,6814,117,637
뉴서울3차아파트,41026,1893,3957,1893,3957,0,195
뉴서울3차아파트,41029,8612,1113,8586,1113,26,324
뉴서울3차아파트,41032,1273,5268,1241,5268,32,218
뉴서울6차아파트,41632,1400,388,1400,388,0,59
뉴서울6차아파트,41635,460,1611,460,1611,0,69
뉴서울아파트,38303,1673,1628,1663,1628,10,110
뉴서울아파트,39234,8417,183,8417,183,0,286
뉴서울아파트,39235,250,4465,250,4465,0,157
뉴서울아파트,40505,2188,1158,2188,1158,0,111
뉴서울아파트,40514,554,657,547,657,7,40
뉴서울아파트,40526,1751,4203,1750,4203,1,198
뉴서울아파트,41153,6171,6631,6171,6631,0,426
뉴서울아파트,89071,9391,20948,9363,20948,28,1011
느티나무,43182,32,102,32,102,0,4
느티나무,43232,151,15,147,15,4,5
늘목,35414,174,684,174,684,0,28
늘목,35415,602,67,602,67,0,22
늘목마을입구,35529,10,0,10,0,0,0
늘목마을입구,35725,1,19,1,19,0,0
늘푸른벽산.서강2차,70021,9,2531,9,2531,0,84
능곡마을회관,43553,71,13,64,13,7,2
능곡마을회관,43649,18,44,18,44,0,2
능미,43921,80,8,79,8,1,2
능미,43922,15,64,14,64,1,2
능안,43276,77,73,76,73,1,5
능안,43571,47,65,46,65,1,3
능촌삼거리,90370,0,10,0,10,0,0
능촌입구,43560,28,1,28,1,0,0
능촌입구,43854,1,57,1,57,0,1
능허대공원,38567,656,1011,656,1011,0,55
능허대공원,38777,289,128,256,128,33,13
다남동소촌마을입구,41329,477,12,476,12,1,16
다남동소촌마을입구,41330,14,666,14,666,0,22
다남동역골입구,41333,2,266,2,266,0,8
다남동역골입구,41334,209,23,209,23,0,7
다남성결교회,41664,78,97,76,97,2,5
다남성결교회,41665,14,213,14,213,0,7
다남식당,41477,1955,19066,1955,19066,0,700
다남식당,41478,805,3462,804,3462,1,142
다리목,43717,10,11,10,11,0,0
다리목,43845,11,12,11,12,0,0
다사랑마을입구,35887,7,29,7,29,0,1
다사랑마을입구,35888,32,14,32,14,0,1
다우리농장,44083,4,0,0,0,4,0
다우리농장,44166,2,13,0,13,2,0
다운,43605,114,112,107,112,7,7
다운,43822,78,87,77,87,1,5
다운1리,43582,13,96,12,96,1,3
다운1리,43821,51,15,51,15,0,2
다운마을,43398,5,77,5,77,0,2
다운마을,43824,61,2,60,2,1,2
다임메가타운,40870,72,616,72,616,0,22
단봉초등학교,42380,4441,875,4436,875,5,177
단봉초등학교,42382,973,3620,969,3620,4,153
달빛축제공원,38620,149,137,149,137,0,9
달빛축제공원,38621,87,730,87,730,0,27
달빛축제공원대공연장,38733,278,747,278,747,0,34
달빛축제공원대공연장,38734,1035,415,1035,415,0,48
담방로사거리,39275,12046,4164,12038,4164,8,540
담방아파트,39226,760,65,760,65,0,27
당곡고개,80048,159,777,159,777,0,31
당곡고개,80049,661,60,661,60,0,24
당미마을,41552,4214,6134,4214,6134,0,344
당미마을,41553,4392,3387,4392,3387,0,259
당산리,43450,10,157,10,157,0,5
당산리,43700,179,8,173,8,6,6
당산리검문소,43699,141,11,137,11,4,5
당산리검문소,43752,14,157,14,157,0,5
당산종점,43669,3,40,3,40,0,1
당산종점,43725,40,0,39,0,1,1
당산초등학교,41418,5229,2744,5229,2744,0,265
당산초등학교,41419,1700,2555,1700,2555,0,141
당산초등학교아래사거리,41644,1,133,1,133,0,4
당산초등학교아래사거리,41645,440,240,440,240,0,22
당하대주파크빌,42392,2471,1820,2466,1820,5,143
당하동탑스빌아파트,42639,4035,3206,4035,3206,0,241
당하동행정복지센터,42886,11493,6521,11493,6521,0,600
당하메디칼,42402,1758,2398,1755,2398,3,138
당하초등학교,42396,1437,1049,1436,1049,1,82
당하초등학교,42399,1297,1478,1297,1478,0,92
당하탑스빌아파트,42393,2639,2642,2639,2642,0,176
당하푸르지오,42403,1134,942,1134,942,0,69
당하푸르지오,42502,766,4345,766,4345,0,170
당하풍림아파트,42405,1729,11682,1729,11682,0,447
대경화성,39789,1210,768,1210,768,0,65
대경화성,39790,1003,1525,1003,1525,0,84
대곶사거리,80008,1747,6070,1736,6070,11,260
대곶사거리,80009,6928,1803,6897,1803,31,291
대기이에스티,39013,167,357,167,357,0,17
대덕강업앞,42759,19,570,19,570,0,19
대동1차후문(종점),40553,389,640,389,640,0,34
대동도어(주),39983,541,12,541,12,0,18
대동도어(주),39984,5,681,5,681,0,22
대동아파트,37042,8941,2331,8941,2331,0,375
대동아파트,37504,4612,7448,4612,7448,0,402
대동아파트,38128,6475,11562,6466,11562,9,601
대동아파트,38345,4836,5611,4831,5611,5,348
대동아파트,39256,380,4893,380,4893,0,175
대동아파트,39473,3724,244,3712,244,12,132
대동아파트,39474,108,7160,99,7160,9,242
대동아파트,40491,615,250,615,250,0,28
대동아파트,40569,8021,3264,8017,3264,4,376
대동아파트,41172,2596,705,2596,705,0,110
대동아파트,42304,2208,4286,2201,4286,7,216
대동아파트,42306,3198,1758,3193,1758,5,165
대동아파트정문앞,40277,1313,1059,1309,1059,4,79
대동아파트후문,41137,2189,4753,2184,4753,5,231
대동월드,38116,4944,2823,4944,2823,0,258
대동특수철강,39049,95,1198,95,1198,0,43
대룡2리마을회관앞,90026,0,45,0,45,0,1
대룡2리마을회관앞,90027,80,3,78,3,2,2
대룡시장,90020,399,1333,396,1333,3,57
대룡시장,90021,1351,394,1330,394,21,58
대륭맨숀,40242,9451,5788,9451,5788,0,507
대륭맨숀,40247,10122,10715,10122,10715,0,694
대림3차아파트301동앞,38681,410,29,410,29,0,14
대림3차아파트301동앞,38684,25,657,25,657,0,22
대림아파트,37053,10670,4514,10669,4514,1,506
대림아파트,37054,3281,7788,3281,7788,0,368
대림아파트,38257,5676,1444,5676,1444,0,237
대림아파트,40382,3548,10813,3524,10813,24,478
대림아파트,42609,1876,1400,1859,1400,17,109
대림아파트,42610,203,2187,200,2187,3,79
대림아파트후문,40397,2153,1399,2153,1399,0,118
대명아파트,37537,2324,6061,2324,6061,0,279
대명초교,80002,1922,176,1918,176,4,69
대명초교,80003,325,1721,324,1721,1,68
대문리고개입구,43546,484,325,471,325,13,26
대문목재,89206,135,239,135,239,0,12
대문목재,89207,266,49,266,49,0,10
대문촌마을,90058,9,6,9,6,0,0
대문촌마을,90059,2,2,2,2,0,0
대박주유소,36091,2263,2545,2263,2545,0,160
대부고교차로,18388,2,19,2,19,0,0
대부관광호텔,62040,255,80,255,80,0,11
대부도서관,18389,1,27,1,27,0,0
대부도서관,18391,11,13,11,13,0,0
대부동행정복지센터,62011,360,1426,360,1426,0,59
대부동행정복지센터,62012,1500,308,1500,308,0,60
대부중고등학교,62027,344,36,344,36,0,12
대부중고등학교,62028,34,281,34,281,0,10
대부파출소앞,62036,1,84,1,84,0,2
대부파출소앞,62042,105,7,105,7,0,3
대사마을,43947,15,221,15,221,0,7
대사마을,43948,179,17,176,17,3,6
대산-기점,90259,3289,3142,3250,3142,39,214
대상스틸,89007,50,552,48,552,2,20
대성베르힐아파트(가정성당),89240,1355,2866,1355,2866,0,140
대성베르힐아파트(가정성당),89241,5775,2287,5775,2287,0,268
대성유니드아파트,40674,1008,4502,1008,4502,0,183
대성유니드아파트,40675,2554,443,2554,443,0,99
대신아파트,41406,5723,1766,5723,1766,0,249
대신철강,42859,11,1026,11,1026,0,34
대야초교.ABC학습타운입구,70017,334,2077,334,2077,0,80
대야초교.ABC학습타운입구,70020,2380,480,2380,480,0,95
대양자동차학원,35073,10,2475,10,2475,0,82
대우삼환아파트,38078,6123,4187,6123,4187,0,343
대우삼환아파트,38591,1299,3324,1299,3324,0,154
대우실업,41485,24,35,24,35,0,1
대우실업,41505,25,1,25,1,0,0
대우아파트,38206,4307,3844,4304,3844,3,271
대우아파트,38208,3796,3143,3795,3143,1,231
대우아파트,40321,172,403,172,403,0,19
대우아파트,40340,735,487,735,487,0,40
대우일렉트로닉스,37462,244,2311,244,2311,0,85
대우일렉트로닉스,37463,2099,773,2098,773,1,95
대우자동차운전학원,42262,496,279,496,279,0,25
대우자동차운전학원,42263,193,450,193,450,0,21
대우재아파트,39702,9,381,8,381,1,13
대우재아파트,39703,436,414,435,414,1,28
대우푸르지오,42407,30195,4267,30189,4267,6,1148
대우푸르지오,42842,1195,3609,1193,3609,2,160
대우푸르지오복합상가,39605,2781,1706,2754,1706,27,149
대우하나아파트,89073,17856,10724,17842,10724,14,952
대우하나아파트,89074,9286,12284,9272,12284,14,719
대웅실업앞,92003,49,289,49,289,0,11
대원레스피아1단지아파트,42643,8407,51,8407,51,0,281
대원정밀,39475,393,746,393,746,0,37
대월초등학교,90094,0,5,0,5,0,0
대월초등학교,90095,13,0,13,0,0,0
대은교회,42143,4790,8586,4771,8586,19,445
대인고등학교,42344,2338,3345,2338,3345,0,189
대인고등학교,42345,4234,1926,4218,1926,16,205
대인고등학교,89490,240,895,240,895,0,37
대일엠앤쿡,39059,704,1732,704,1732,0,81
대장간마을,43703,329,169,324,169,5,16
대정,90117,5,89,4,89,1,3
대정,90118,78,6,75,6,3,2
대주아파트,42469,1972,11433,1972,11433,0,446
대주파크빌,42466,6160,1266,6160,1266,0,247
대진아파트,40415,2768,2345,2768,2345,0,170
대촌,43393,54,60,51,60,3,3
대촌,43545,31,22,31,22,0,1
대촌마을,41663,11,0,11,0,0,0
대토단지앞,39813,1074,962,1074,962,0,67
대한솔루션알앤디센터,39557,21,360,21,360,0,12
대한제당,35169,1121,38,1120,38,1,38
대한제당,35220,12,1480,12,1480,0,49
대현목재,89205,202,329,202,329,0,17
대화초등학교,37397,6441,2543,6441,2543,0,299
대화초등학교,37399,2821,5103,2821,5103,0,264
대흥,43194,25,430,25,430,0,15
대흥,43591,470,23,442,23,28,16
대흥식당,35688,29,18,26,18,3,1
대흥식당,35689,20,36,20,36,0,1
더리미경로당,43363,16,11,15,11,1,0
더리미경로당,43731,16,20,16,20,0,1
더리미미술관,43961,94,14,86,14,8,3
더리미미술관,43962,3,10,0,10,3,0
더리미장어마을,43680,14,45,14,45,0,1
더리미장어마을,43864,26,7,24,7,2,1
더샵그린스퀘어105동,92021,1932,222,1932,222,0,71
더샵그린스퀘어107동,92022,203,2638,203,2638,0,94
더샵그린애비뉴,38486,9787,8474,9786,8474,1,608
더샵그린애비뉴,38510,766,17,766,17,0,26
더샵그린워크1단지,38495,5675,2393,5653,2393,22,268
더샵부평센트럴시티(101동),40061,1912,2793,1912,2793,0,156
더샵부평센트럴시티(101동),40065,2666,1356,2666,1356,0,134
더샵부평센트럴시티(127동),40050,9971,15206,9945,15206,26,839
더샵센트럴시티204동,92020,52,2135,52,2135,0,72
더샵센트럴시티205동,92019,4814,2849,4814,2849,0,255
더샵송도마리나베이,38765,12,1140,12,1140,0,38
더샵송도마리나베이,38766,848,13,848,13,0,28
더샵송도프라임뷰20단지,38561,1348,4430,1345,4430,3,192
더샵엑스포빌리지,38480,7894,3599,7893,3599,1,383
더샵퍼스트파크13단지,38601,1026,192,1013,192,13,40
더샵퍼스트파크13단지,38602,116,688,116,688,0,26
더샵하버뷰,38485,11752,8166,11749,8166,3,663
더샵하버뷰,38487,3480,2248,3471,2248,9,190
더샵하버뷰(D13),38453,1577,1036,1558,1036,19,87
더샵하버뷰(D13),38466,1441,1766,1441,1766,0,106
더샵하버뷰(D14),38454,1066,724,1066,724,0,59
더샵하버뷰14단지,38504,1644,1383,1642,1383,2,100
더월드스테이트2단지,37657,886,492,865,492,21,45
더월드스테이트후문,37422,66,742,64,742,2,26
더포레스트아파트,39876,8297,1740,8297,1740,0,334
더포레스트아파트,39877,4574,8634,4574,8634,0,440
더프라우,38410,9280,26508,9280,26508,0,1192
더필립요양병원,40461,1856,3986,1856,3986,0,194
덕고개삼거리,43723,103,48,101,48,2,5
덕고개삼거리,43750,5,52,5,52,0,1
덕골,43397,18,4,17,4,1,0
덕골,43399,12,14,12,14,0,0
덕교3거리,35012,141,26,141,26,0,5
덕교동,35003,778,143,778,143,0,30
덕교동,35005,165,1304,165,1304,0,48
덕교동,35259,1420,390,1420,390,0,60
덕교삼거리,35214,40,192,40,192,0,7
덕신고등학교(강화읍교회),90228,22,147,22,147,0,5
덕신고등학교(강화읍교회),90229,125,163,124,163,1,9
덕유마을.설악마을,11187,2501,1307,2501,1307,0,126
덕유마을.설악마을,55073,1206,667,1206,667,0,62
덕음,43657,10,9,10,9,0,0
덕응,43983,8,15,8,15,0,0
덕응,43986,11,10,11,10,0,0
덕정가든,43173,1,23,1,23,0,0
덕정가든,43296,57,3,54,3,3,2
덕진사거리,43870,66,18,66,18,0,2
덕진사거리,90310,5,13,5,13,0,0
덕진진,43637,20,76,20,76,0,3
덕진진,43672,13,4,13,4,0,0
덕창기계,39723,188,47,188,47,0,7
덕포리,43006,442,225,442,225,0,22
덕포리,43100,182,295,180,295,2,15
덕하교앞,43449,35,35,35,35,0,2
덕하교앞,43727,20,43,20,43,0,2
덕화2리,43468,55,24,55,24,0,2
덕화2리,43730,3,26,3,26,0,0
덕화2리마을회관,43923,39,22,37,22,2,2
덕화2리마을회관,43924,7,21,7,21,0,0
덕화3리마을회관,43609,154,108,150,108,4,8
덕화3리입구,43469,11,3,11,3,0,0
덕화3리입구,43729,20,30,20,30,0,1
덕화교회앞,90398,2,39,2,39,0,1
덕화교회앞,90399,11,9,11,9,0,0
도간마을,43612,24,0,23,0,1,0
도간마을,43664,0,31,0,31,0,1
도감말,43733,19,9,18,9,1,0
도감말,43754,6,8,6,8,0,0
도곡한신아파트,23504,70,27,70,27,0,3
도담공원.푸르지오더베뉴,89397,4751,1988,4751,1988,0,224
도담공원.푸르지오더베뉴,89398,3210,4820,3210,4820,0,267
도담공원·인천이음중학교(서측),89482,2136,1695,2136,1695,0,127
도두리마을,41565,16756,2125,16756,2125,0,629
도두리마을,41566,2777,12877,2777,12877,0,521
도림고등학교,92066,159,185,159,185,0,11
도림동고개,39160,1201,665,1200,665,1,62
도림동고개,39161,644,1641,644,1641,0,76
도림동입구,39140,8585,1978,8585,1978,0,352
도림동입구,39141,3,2250,3,2250,0,75
도림아이파크아파트,39155,7914,4087,7908,4087,6,400
도림육교,39154,3539,6744,3536,6744,3,342
도림주공1단지,39152,15699,12538,15683,12538,16,941
도림주공1단지,39153,13956,11598,13948,11598,8,851
도림주공208동,39142,6749,3400,6740,3400,9,338
도림주공208동,39143,4886,7149,4885,7149,1,401
도림주공2단지,39146,4613,4094,4611,4094,2,290
도림주공2단지,39149,3581,2666,3575,2666,6,208
도림주철관1공장,89307,407,694,407,694,0,36
도림주철관공업(주),42293,3622,1235,3622,1235,0,161
도림포도원,39150,367,3757,367,3757,0,137
도림포도원,39151,498,403,498,403,0,30
도원고개(도원역),36001,3587,3057,3570,3057,17,221
도원고개(동구청방향),36170,37,33,37,33,0,2
도원동행정복지센터,35180,3047,2687,3042,2687,5,191
도원동행정복지센터,36128,69,301,69,301,0,12
도원동행정복지센터(앞),35788,136,167,136,167,0,10
도원동행정복지센터(앞),35798,223,135,223,135,0,11
도원역(인천축구전용경기장),35176,7810,4827,7792,4827,18,421
도원역(인천축구전용경기장),37549,1657,3722,1656,3722,1,179
도장골삼거리,44122,0,1,0,1,0,0
도장재마을,43167,27,2,27,2,0,0
도장재마을,43225,2,33,2,33,0,1
도화1동행정복지센터,37340,11868,9831,11851,9831,17,723
도화IC,37356,25519,20067,25513,20067,6,1519
도화e편한세상604동,37578,513,73,513,73,0,19
도화e편한세상아파트,37612,276,1530,276,1530,0,60
도화e편한세상아파트,37613,4606,1979,4603,1979,3,219
도화e편한세상아파트5단지,37624,3154,1539,3154,1539,0,156
도화e편한세상아파트6단지,37626,2392,3972,2392,3972,0,212
도화동신협(구박문여고),36003,10575,4728,10574,4728,1,510
도화동신협(구박문여고),37499,5177,7473,5173,7473,4,421
도화사거리.도화역,37390,774,718,774,718,0,49
도화사거리.도화역,37392,434,1116,434,1116,0,51
도화사거리·더샵인천스카이타워,37673,7397,4125,7392,4125,5,384
도화사거리·더샵인천스카이타워,37674,2651,6787,2646,6787,5,314
도화서희스타힐스,37625,1615,2612,1615,2612,0,140
도화역,37629,6328,7489,6328,7489,0,460
도화초등학교.수봉도서관,37366,7864,6716,7862,6716,2,486
도화초등학교.수봉도서관,37367,12179,12786,12175,12786,4,832
독골사거리,42175,3130,1399,3130,1399,0,150
독배로317번길(삼거리),37634,6780,190,6780,190,0,232
독장골,43351,2,33,2,33,0,1
독장골,43846,26,0,25,0,1,0
독정역(서구동구예비군훈련장),42377,4830,5124,4826,5124,4,331
독정역(서구동구예비군훈련장),42378,10430,5996,10428,5996,2,547
독정이고개,37234,28958,20460,28899,20460,59,1647
독정이고개,37238,20154,27453,20100,27453,54,1586
돈대마을,43925,24,2,23,2,1,0
돈대마을,43926,7,14,7,14,0,0
돈대모루,43422,5,10,5,10,0,0
돈대모루,43447,15,14,14,14,1,0
돌머루(대산종점),43707,105,74,104,74,1,5
돌산밑,35320,135,20,135,20,0,5
돌산밑,35396,18,202,16,202,2,7
돌팍재삼거리,35273,665,1254,664,1254,1,63
돌팍재삼거리,35277,985,673,983,673,2,55
돌팍재한뿌리,35304,210,207,210,207,0,13
돌팍재한뿌리,35315,112,388,112,388,0,16
동강리,35245,117,86,117,86,0,6
동강리,35246,66,77,66,77,0,4
동강리,35317,27,50,27,50,0,2
동강리,35393,119,41,116,41,3,5
동검도삼거리,43223,0,49,0,49,0,1
동검도삼거리,43642,78,1,74,1,4,2
동검리마을회관입구,90069,0,11,0,11,0,0
동검리마을회관입구,90070,5,2,5,2,0,0
동검리입구,43856,6,26,6,26,0,1
동검리입구,43877,13,3,12,3,1,0
동검리종점,43889,68,37,68,37,0,3
동검상회,43226,4,0,4,0,0,0
동검상회,43519,0,3,0,3,0,0
동광리어,41083,1114,436,1114,436,0,51
동광리어,41084,595,1968,595,1968,0,85
동광제일교회,40411,440,583,440,583,0,34
동교동삼거리,22012,6954,67,6954,67,0,234
동교동삼거리,23033,169,5313,169,5313,0,182
동구선거관리위원회,36110,3468,9338,3445,9338,23,426
동구청,36011,528,554,528,554,0,36
동구청소년수련관.달동네박물관,36026,16773,15165,16677,15165,96,1064
동국제강,36068,1912,3452,1904,3452,8,178
동국제강,36074,373,162,373,162,0,17
동국제강후문,36069,176,773,176,773,0,31
동국제강후문,36070,1000,140,1000,140,0,38
동남스포피아,38226,10023,7425,10023,7425,0,581
동남스포피아,38227,9832,8326,9832,8326,0,605
동남아파트,38267,1202,6548,1202,6548,0,258
동남아파트,38268,3101,1183,3101,1183,0,142
동남아파트,70039,608,615,608,615,0,40
동남아파트(무지개아파트),38337,1087,4157,1058,4157,29,174
동녘개,90147,1,15,1,15,0,0
동녘개,90148,29,13,29,13,0,1
동녘마을입구,39660,13,750,13,750,0,25
동들머리,43705,21,8,21,8,0,0
동들머리,43885,14,48,13,48,1,2
동막교회,43499,5,69,5,69,0,2
동막교회,43514,57,6,54,6,3,2
동막역(1번출구),38039,36432,54743,36382,54743,50,3039
동막역(3번출구),38433,51566,27886,51551,27886,15,2648
동막역(4번출구),38338,9801,964,9801,964,0,358
동막초등학교,38054,943,4256,943,4256,0,173
동막해변,43408,40,108,40,108,0,4
동막해변,43511,200,66,198,66,2,8
동문아파트,42436,13634,14041,13633,14041,1,922
동방중학교,92038,489,515,489,515,0,33
동방초등학교,92037,29,234,29,234,0,8
동보2차아파트,41053,40,605,40,605,0,21
동보2차아파트,41059,818,76,818,76,0,29
동보노빌리티,35488,3182,3193,3182,3193,0,212
동보노빌리티,35489,3591,2571,3589,2571,2,205
동보아파트,39125,2850,5454,2850,5454,0,276
동보아파트,39126,5504,1868,5504,1868,0,245
동보아파트,41056,4099,613,4099,613,0,157
동보아파트,41063,1052,3749,1052,3749,0,160
동보아파트,41136,355,978,354,978,1,44
동보아파트,41143,12553,17386,12542,17386,11,997
동보아파트,70040,333,640,333,640,0,32
동보아파트후문,41129,1086,262,1081,262,5,44
동부아파트,36052,1289,2218,1272,2218,17,116
동부아파트,37192,479,455,479,455,0,31
동산고,36018,12973,4170,12957,4170,16,571
동산고등학교,36021,6081,12888,6066,12888,15,632
동산교회,36010,1758,2719,1754,2719,4,149
동산교회,36012,3052,3488,3037,3488,15,218
동산교회,90303,1,0,1,0,0,0
동산리마을회관,90302,14,10,14,10,0,0
동산리입구,90291,10,9,10,9,0,0
동산리입구,90299,3,0,3,0,0,0
동산중고등학교(재능대정문),36029,9091,1005,9091,1005,0,336
동산휴먼시아2단지,36022,2780,499,2780,499,0,109
동산휴먼시아2단지,36023,979,4378,979,4378,0,178
동서식품,40623,2673,2509,2670,2509,3,172
동서식품,40624,1897,3545,1889,3545,8,181
동성.길훈아파트,42495,3471,5523,3469,5523,2,299
동성아파트,42496,4944,2549,4943,2549,1,249
동수교회,40184,139,1107,139,1107,0,41
동수역,40108,3065,5239,3065,5239,0,276
동수역,40110,7321,5691,7321,5691,0,433
동수역,40124,1985,12203,1982,12203,3,472
동수치안센터,40188,8700,8736,8700,8736,0,581
동수치안센터,40189,11317,12188,11317,12188,0,783
동아.팬더아파트,39233,7082,9866,7082,9866,0,564
동아.팬더아파트,39236,10307,5870,10307,5870,0,539
동아2단지정문,40324,1327,389,1327,389,0,57
동아금호아파트,38344,5771,12497,5768,12497,3,608
동아금호아파트,38347,7445,2514,7439,2514,6,331
동아아파트,37248,950,1152,950,1152,0,70
동아아파트,41070,3270,1271,3260,1271,10,151
동아아파트,41072,1346,2860,1340,2860,6,140
동아아파트,41403,1237,4225,1237,4225,0,182
동아아파트,42404,3374,3963,3374,3963,0,244
동아아파트,42406,5640,3031,5640,3031,0,289
동아아파트후문,40257,2541,2643,2530,2643,11,172
동아아파트후문,40258,2438,1862,2417,1862,21,143
동아전기,42647,737,1073,736,1073,1,60
동아전기,42725,1487,1099,1483,1099,4,86
동아정밀,42037,1415,3139,1415,3139,0,151
동아풍림아파트,37037,14217,17064,14217,17064,0,1042
동암국민주택,40014,3215,722,3215,722,0,131
동암국민주택,40015,669,1947,669,1947,0,87
동암남부역,40034,38783,27531,38783,27531,0,2210
동암남부역,40797,133327,114284,133130,114284,197,8253
동암남부역,40861,648,6490,648,6490,0,237
동암남부역,40862,18007,13001,18007,13001,0,1033
동암북부역,40013,30537,15332,30477,15332,60,1528
동암북부역,40035,10355,29901,10347,29901,8,1341
동암북부역광장,40800,80941,67443,80691,67443,250,4946
동암사거리,40001,13930,15025,13927,15025,3,965
동암사거리,40003,3347,5744,3343,5744,4,303
동양도서관,41522,6595,3911,6595,3911,0,350
동양도서관(휴먼빌아파트),41523,4115,4867,4115,4867,0,299
동양엔파트4단지,42820,2350,3816,2350,3816,0,205
동양엔파트4단지,42837,3978,1936,3978,1936,0,197
동양엔파트5단지,42986,2319,3054,2319,3054,0,179
동양자이입구,41554,2514,3670,2512,3670,2,206
동양자이입구,41555,2894,2520,2894,2520,0,180
동양장사거리,37301,7561,6214,7561,6214,0,459
동양주공1.2단지,41372,10672,2649,10670,2649,2,444
동양주공1.2단지,41373,2567,7184,2567,7184,0,325
동양지구1단지정문,41521,721,1958,721,1958,0,89
동양지구입구,41445,4299,492,4299,492,0,159
동양지구입구,41446,1147,5857,1147,5857,0,233
동양하이테크,42966,20,230,20,230,0,8
동원로얄듀크마리나포레,35890,1327,555,1327,555,0,62
동원로얄듀크마리나포레,35891,311,1128,311,1128,0,47
동원아파트,25166,241,317,241,317,0,18
동원아파트,25167,440,125,440,125,0,18
동원아파트,37376,4556,1978,4556,1978,0,217
동원아파트,37379,1770,2761,1767,2761,3,151
동인천,35188,28285,34551,28285,34551,0,2094
동인천(우리은행앞),35517,924,620,902,620,22,51
동인천동행정복지센터,35795,24,309,24,309,0,11
동인천동행정복지센터,35805,71,98,71,98,0,5
동인천역,35185,103503,48893,103411,48893,92,5079
동인천역,35187,4954,10456,4951,10456,3,513
동인천역,35191,72546,90388,72447,90388,99,5431
동인천역,35192,11096,23125,11070,23125,26,1140
동인천역북광장,36136,22650,17257,22589,17257,61,1330
동인천역북광장,36137,30874,15244,30823,15244,51,1537
동인천중학교,39229,1261,779,1259,779,2,68
동인천중학교,39230,1823,1062,1812,1062,11,96
동일방직,36031,3483,3313,3469,3313,14,226
동일방직,36032,3545,2928,3536,2928,9,215
동일아파트,35177,763,1549,760,1549,3,77
동작세무서,20005,52,476,52,476,0,17
동주농장,43349,1,14,1,14,0,0
동주농장,43401,40,4,39,4,1,1
동촌,43407,104,2,100,2,4,3
동촌,43793,0,104,0,104,0,3
동춘2동행정복지센터,38045,1193,5818,1193,5818,0,233
동춘2동행정복지센터,38046,5278,741,5278,741,0,200
동춘동종점,38037,632,1090,627,1090,5,57
동춘동차고지,38569,674,929,670,929,4,53
동춘롤러경기장,38704,271,495,270,495,1,25
동춘마을아파트,38082,7116,5479,7107,5479,9,419
동춘마을아파트,38087,3460,6833,3458,6833,2,343
동춘역,38346,32675,21480,32608,21480,67,1805
동춘역(이마트),38060,13477,599,13477,599,0,469
동춘역(이마트.스퀘어원),38070,28914,37992,28911,37992,3,2230
돼지슈퍼.간동입구,80019,62,832,62,832,0,29
두두미마을,43289,13,0,13,0,0,0
두두미마을,43869,0,7,0,7,0,0
두밀경노당,89328,5,174,5,174,0,5
두밀경노당,89331,141,10,136,10,5,5
두산아파트,40564,2138,3668,2138,3668,0,193
두산위브아파트,37043,14546,8399,14545,8399,1,764
두산위브아파트,40630,11021,585,11021,585,0,386
두산위브아파트,40648,371,1309,371,1309,0,56
두운1리마을회관앞,90047,3,51,2,51,1,1
두운1리마을회관앞,90048,25,9,25,9,0,1
두운리,43034,62,91,62,91,0,5
두운리,43540,111,231,111,231,0,11
둑실경로당,41498,2,41,2,41,0,1
둑실경로당,41514,69,1,69,1,0,2
둑실동(아라마루전망대),41494,5,114,5,114,0,3
둑실동(아라마루전망대),41512,225,2,225,2,0,7
둑실동회차지,41500,101,53,101,53,0,5
둥개마을오거리,35861,33,2,33,2,0,1
둥개마을오거리,35862,0,1,0,1,0,0
둥깨마을입구(세븐일레븐),35721,42,1,41,1,1,1
둥깨마을입구(세븐일레븐),35722,0,30,0,30,0,1
둥깨마을입구(용성철강),35723,1,0,1,0,0,0
둥깨마을입구(용성철강),35724,2,88,2,88,0,3
뒤골입구,35668,22,4,22,4,0,0
뒤골입구,35669,2,10,2,10,0,0
뒷골 입구,90377,21,38,21,38,0,1
뒷골 입구,90380,30,0,30,0,0,1
뒷방죽들,39959,781,25,781,25,0,26
뒷방죽들,39960,6204,7668,6204,7668,0,462
드라이빙센터,35589,36,1750,36,1750,0,59
드림로갈산교,41342,376,58,376,58,0,14
드림로갈산교,41343,78,1042,78,1042,0,37
드림파크야생화단지,89363,3242,45,3242,45,0,109
드림파크야생화단지,89364,24,3213,23,3213,1,107
드무리해변,44011,33,513,33,513,0,18
드무리해변,44012,549,44,549,44,0,19
디에스솔텍,39035,3186,2222,3186,2222,0,180
디에스솔텍,39038,2056,2170,2056,2170,0,140
디에트로더힐,89455,4421,4905,4421,4905,0,310
디에트로더힐,89464,742,3,742,3,0,24
디에트르더힐(고산터널),89396,4475,6931,4475,6931,0,380
뗏마루어린이공원·신화아파트,39405,4467,6536,4455,6536,12,366
라마다 인천호텔,92075,239,1085,239,1085,0,44
라이크홈기숙사앞,39993,1719,1436,1719,1436,0,105
라이크홈기숙사앞,39994,2126,1601,2126,1601,0,124
